firstname,lastname,dates,nationality,known_for,summary
abraham ,de moivre,"26 May 1667 – November 27, 1754",french ,"de moivre's formula, theorem of de moivre–laplace","Abraham de Moivre  was a French mathematician known for de Moivre's formula, a formula that links complex numbers and trigonometry, and for his work on the normal distribution and probability theory"
ada ,lovelace,10 December 1815 – 27 November 1852,english ,analytical engine,"Augusta Ada King, Countess of Lovelace  was an English mathematician and writer, chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine"
muḥammad ibn mūsā al-,khwarizmi,c. 780 – c. 850 AD,iranian,treatises on algebra and indian numerals,
alan,turing,23 June 1912 – 7 June 1954,british ,"cryptanalysis of the enigma, turing machine, turing test","Alan Mathison Turing   was an English mathematician, computer scientist, logician, cryptanalyst, philosopher, and theoretical biologist"
albert,einstein,14 March 1879 – 18 April 1955,german,general relativity and special relativity,"Albert Einstein ; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics)"
albertus,magnus,"before 1200 – November 15, 1280",german ,,
alexander,grothendieck,28 March 1928 – 13 November 2014,german-born french,algebraic geometry,Alexander Grothendieck  was a mathematician who became the leading figure in the creation of modern algebraic geometry
alfred north ,whitehead,15 February 1861 – 30 December 1947,english ,principia mathematica ,Alfred North Whitehead   was an English mathematician and philosopher
andrew ,wiles,11th April 1953 - ,british ,proving fermat's last theorem,"Sir Andrew John Wiles   is an English mathematician and a Royal Society Research Professor at the University of Oxford, specializing in number theory"
,archimedes,c. 287 BC – c. 212 BC,greek,"archimedes' principle, archimedes' screw, hydrostatics, levers, infinitesimals
","Archimedes of Syracuse  was a Greek mathematician, physicist, engineer, inventor, and astronomer"
,aristotle,c. 384 – c. 322 BC,greek,"golden mean, aristotelian logic, syllogism, hexis, hylomorphism, theory of the soul",Aristotle  was a Greek philosopher and polymath during the Classical period in Ancient Greece
arthur ,cayley,16 August 1821 – 26 January 1895,british,"algebraic geometry, group theory, cayley–hamilton theorem, cayley–dickson construction",Arthur Cayley   was a prolific British mathematician who worked mostly on algebra
,aryabhata,c. 476 – c. 550 CE,indian,"explanation of lunar eclipse and solar eclipse, rotation of earth on its axis",Aryabhata  or Aryabhata I (476–550 CE) was the first of the major mathematician-astronomers from the classical age of Indian mathematics and Indian astronomy
augustin-louis ,cauchy,21 August 1789 – 23 May 1857,french ,pioneer of analysis,
augustus,de morgan,27 June 1806 – 18 March 1871,british,"de morgan's laws, de morgan algebra, relation algebra, universal algebra",Augustus De Morgan  was a British mathematician and logician
benjamin ,banneker,"November 9, 1731 – October 9, 1806",american,,
bernhard ,riemann,"September 17, 1826 – July 20, 1866",german,"contributions to analysis, number theory, differential geometry","Georg Friedrich Bernhard Riemann ; 17 September 1826 – 20 July 1866) was a German mathematician who made contributions to analysis, number theory, and differential geometry"
bertrand ,russell,18 May 1872 – 2 February 1970,british,multiple things,"Bertrand Arthur William Russell, 3rd Earl Russell   was a British polymath, philosopher, logician, mathematician, historian, writer, social critic, political activist, and Nobel laureate"
